Case ID,End Timestamp,Activity
1,2022/7/12 12:02:01,並び始め
1,2022/7/12 12:02:08,注文開始
1,2022/7/12 12:02:14,決済
1,2022/7/12 12:02:52,注文完了
1,2022/7/12 12:07:23,商品受取
2,2022/7/12 12:03:59,並び始め
2,2022/7/12 12:04:25,注文開始
2,2022/7/12 12:04:28,決済
2,2022/7/12 12:05:03,注文完了
2,2022/7/12 12:09:50,商品受取
3,2022/7/12 12:04:05,並び始め
3,2022/7/12 12:04:58,注文開始
3,2022/7/12 12:05:00,決済
3,2022/7/12 12:05:08,注文完了
3,2022/7/12 12:09:51,商品受取
4,2022/7/12 12:04:41,並び始め
4,2022/7/12 12:05:11,注文開始
4,2022/7/12 12:05:20,決済
4,2022/7/12 12:05:44,注文完了
4,2022/7/12 12:10:00,商品受取
5,2022/7/12 12:04:46,並び始め
5,2022/7/12 12:05:38,注文開始
5,2022/7/12 12:05:47,決済
5,2022/7/12 12:06:34,注文完了
5,2022/7/12 12:10:51,商品受取
6,2022/7/12 12:04:46,並び始め
6,2022/7/12 12:06:37,注文開始
6,2022/7/12 12:06:39,決済
6,2022/7/12 12:06:40,注文完了
6,2022/7/12 12:11:25,商品受取
7,2022/7/12 12:04:47,並び始め
7,2022/7/12 12:06:43,注文開始
7,2022/7/12 12:06:47,決済
7,2022/7/12 12:10:08,注文完了
7,2022/7/12 12:12:22,商品受取
8,2022/7/12 12:05:32,並び始め
8,2022/7/12 12:06:59,注文開始
8,2022/7/12 12:07:05,決済
8,2022/7/12 12:07:10,注文完了
8,2022/7/12 12:13:15,商品受取
9,2022/7/12 12:06:26,並び始め
9,2022/7/12 12:07:12,注文開始
9,2022/7/12 12:07:13,決済
9,2022/7/12 12:07:56,注文完了
9,2022/7/12 12:13:33,商品受取
10,2022/7/12 12:07:03,並び始め
10,2022/7/12 12:08:19,注文開始
10,2022/7/12 12:08:20,決済
10,2022/7/12 12:08:28,注文完了
10,2022/7/12 12:15:05,商品受取
11,2022/7/12 12:07:35,並び始め
11,2022/7/2 12:08:30,注文開始
11,2022/7/12 12:08:31,決済
11,2022/7/12 12:09:01,注文完了
11,2022/7/12 12:15:50,商品受取
12,2022/7/12 12:07:35,並び始め
12,2022/7/12 12:09:12,注文開始
12,2022/7/12 12:09:13,決済
12,2022/7/12 12:09:24,注文完了
12,2022/7/12 12:15:57,商品受取
13,2022/7/12 12:09:10,並び始め
13,2022/7/12 12:09:27,注文開始
13,2022/7/12 12:09:49,決済
13,2022/7/12 12:09:51,注文完了
13,2022/7/12 12:17:33,商品受取
14,2022/7/12 12:09:39,並び始め
14,2022/7/12 12:10:05,注文開始
14,2022/7/12 12:10:13,決済
14,2022/7/12 12:10:15,注文完了
14,2022/7/12 12:17:44,商品受取
15,2022/7/12 12:11:11,並び始め
15,2022/7/12 12:11:54,注文開始
15,2022/7/12 12:11:56,決済
15,2022/7/12 12:12:41,注文完了
15,2022/7/12 12:18:32,商品受取
16,2022/7/12 12:11:12,並び始め
16,2022/7/12 12:12:19,注文開始
16,2022/7/12 12:12:20,決済
16,2022/7/12 12:12:43,注文完了
16,2022/7/12 12:18:32,商品受取
17,2022/7/12 12:13:18,並び始め
17,2022/7/12 12:13:32,注文開始
17,2022/7/12 12:13:42,決済
17,2022/7/12 12:15:07,注文完了
17,2022/7/12 12:19:03,商品受取
18,2022/7/12 12:13:19,並び始め
18,2022/7/12 12:15:05,注文開始
18,2022/7/12 12:15:06,決済
18,2022/7/12 12:15:09,注文完了
18,2022/7/12 12:19:29,商品受取
19,2022/7/12 12:13:24,並び始め
19,2022/7/12 12:15:12,注文開始
19,2022/7/12 12:15:13,決済
19,2022/7/12 12:15:15,注文完了
19,2022/7/12 12:20:40,商品受取
20,2022/7/12 12:13:25,並び始め
20,2022/7/12 12:15:17,注文開始
20,2022/7/12 12:15:18,決済
20,2022/7/12 12:15:22,注文完了
20,2022/7/12 12:20:53,商品受取
21,2022/7/12 12:13:25,並び始め
21,2022/7/12 12:15:30,注文開始
21,2022/7/12 12:15:31,決済
21,2022/7/12 12:15:35,注文完了
21,2022/7/12 12:20:58,商品受取
22,2022/7/12 12:13:26,並び始め
22,2022/7/12 12:15:43,注文開始
22,2022/7/12 12:15:53,決済
22,2022/7/12 12:16:14,注文完了
22,2022/7/12 12:21:33,商品受取
23,2022/7/12 12:13:41,並び始め
23,2022/7/12 12:16:31,注文開始
23,2022/7/12 12:16:32,決済
23,2022/7/12 12:17:19,注文完了
23,2022/7/12 12:21:36,商品受取
24,2022/7/12 12:16:46,並び始め
24,2022/7/12 12:17:28,注文開始
24,2022/7/12 12:17:30,決済
24,2022/7/12 12:17:48,注文完了
24,2022/7/12 12:23:49,商品受取
25,2022/7/12 12:17:11,並び始め
25,2022/7/12 12:18:04,注文開始
25,2022/7/12 12:18:05,決済
25,2022/7/12 12:19:36,注文完了
25,2022/7/12 12:23:50,商品受取
26,2022/7/12 12:17:12,並び始め
26,2022/7/12 12:18:24,注文開始
26,2022/7/12 12:18:25,決済
26,2022/7/12 12:19:37,注文完了
26,2022/7/12 12:23:51,商品受取
27,2022/7/12 12:17:24,並び始め
27,2022/7/12 12:19:01,注文開始
27,2022/7/12 12:19:02,決済
27,2022/7/12 12:19:40,注文完了
27,2022/7/12 12:24:10,商品受取
28,2022/7/12 12:17:24,並び始め
28,2022/7/12 12:19:30,注文開始
28,2022/7/12 12:19:32,決済
28,2022/7/12 12:19:50,注文完了
28,2022/7/12 12:24:13,商品受取
29,2022/7/12 12:17:26,並び始め
29,2022/7/12 12:19:52,注文開始
29,2022/7/12 12:19:53,決済
29,2022/7/12 12:19:55,注文完了
29,2022/7/12 12:25:16,商品受取
30,2022/7/12 12:17:55,並び始め
30,2022/7/12 12:20:09,注文開始
30,2022/7/12 12:20:10,決済
30,2022/7/12 12:20:21,注文完了
30,2022/7/12 12:25:56,商品受取
31,2022/7/12 12:17:56,並び始め
31,2022/7/12 12:20:40,注文開始
31,2022/7/12 12:20:41,決済
31,2022/7/12 12:21:04,注文完了
31,2022/7/12 12:25:58,商品受取
32,2022/7/12 12:17:56,並び始め
32,2022/7/12 12:21:05,注文開始
32,2022/7/12 12:21:06,決済
32,2022/7/12 12:21:08,注文完了
32,2022/7/12 12:26:51,商品受取
33,2022/7/12 12:18:42,並び始め
33,2022/7/12 12:21:36,注文開始
33,2022/7/12 12:21:38,決済
33,2022/7/12 12:21:45,注文完了
33,2022/7/12 12:26:58,商品受取
34,2022/7/12 12:18:42,並び始め
34,2022/7/12 12:21:40,注文開始
34,2022/7/12 12:21:41,決済
34,2022/7/12 12:21:47,注文完了
34,2022/7/12 12:29:52,商品受取
35,2022/7/12 12:20:09,並び始め
35,2022/7/12 12:22:01,注文開始
35,2022/7/12 12:22:02,決済
35,2022/7/12 12:22:24,注文完了
35,2022/7/12 12:31:42,商品受取
36,2022/7/12 12:21:04,並び始め
36,2022/7/12 12:22:31,注文開始
36,2022/7/12 12:22:32,決済
36,2022/7/12 12:22:51,注文完了
36,2022/7/12 12:31:46,商品受取
37,2022/7/12 12:21:04,並び始め
37,2022/7/12 12:22:54,注文開始
37,2022/7/12 12:22:55,決済
37,2022/7/12 12:23:21,注文完了
37,2022/7/12 12:32:15,商品受取
38,2022/7/12 12:21:05,並び始め
38,2022/7/12 12:23:25,注文開始
38,2022/7/12 12:23:48,決済
38,2022/7/12 12:23:50,注文完了
38,2022/7/12 12:32:16,商品受取
39,2022/7/12 12:21:05,並び始め
39,2022/7/12 12:23:53,注文開始
39,2022/7/12 12:23:55,決済
39,2022/7/12 12:24:02,注文完了
39,2022/7/12 12:32:27,商品受取
40,2022/7/12 12:21:06,並び始め
40,2022/7/12 12:24:09,注文開始
40,2022/7/12 12:24:11,決済
40,2022/7/12 12:24:29,注文完了
40,2022/7/12 12:32:45,商品受取
41,2022/7/12 12:21:15,並び始め
41,2022/7/12 12:24:30,注文開始
41,2022/7/12 12:24:54,決済
41,2022/7/12 12:25:00,注文完了
41,2022/7/12 12:34:28,商品受取
42,2022/7/12 12:21:16,並び始め
42,2022/7/12 12:24:56,注文開始
42,2022/7/12 12:25:01,決済
42,2022/7/12 12:25:46,注文完了
42,2022/7/12 12:34:44,商品受取
43,2022/7/12 12:21:21,並び始め
43,2022/7/12 12:25:12,注文開始
43,2022/7/12 12:25:14,決済
43,2022/7/12 12:25:49,注文完了
43,2022/7/12 12:34:51,商品受取
44,2022/7/12 12:21:22,並び始め
44,2022/7/12 12:25:54,注文開始
44,2022/7/12 12:26:16,決済
44,2022/7/12 12:26:24,注文完了
44,2022/7/12 12:37:19,商品受取
45,2022/7/12 12:21:23,並び始め
45,2022/7/12 12:26:18,注文開始
45,2022/7/12 12:26:19,決済
45,2022/7/12 12:26:27,注文完了
45,2022/7/12 12:38:37,商品受取
46,2022/7/12 12:21:27,並び始め
46,2022/7/12 12:26:38,注文開始
46,2022/7/12 12:26:39,決済
46,2022/7/12 12:27:17,注文完了
46,2022/7/12 12:35:03,商品受取
47,2022/7/12 12:23:39,並び始め
47,2022/7/12 12:27:19,注文開始
47,2022/7/12 12:27:20,決済
47,2022/7/12 12:27:25,注文完了
47,2022/7/12 12:36:06,商品受取
48,2022/7/12 12:23:40,並び始め
48,2022/7/12 12:27:36,注文開始
48,2022/7/12 12:27:37,決済
48,2022/7/12 12:27:54,注文完了
48,2022/7/12 12:36:59,商品受取
49,2022/7/12 12:25:10,並び始め
49,2022/7/12 12:29:04,注文開始
49,2022/7/12 12:29:09,決済
49,2022/7/12 12:29:37,注文完了
49,2022/7/12 12:39:13,商品受取
50,2022/7/12 12:25:10,並び始め
50,2022/7/12 12:29:34,注文開始
50,2022/7/12 12:29:35,決済
50,2022/7/12 12:29:54,注文完了
50,2022/7/12 12:41:09,商品受取
51,2022/7/12 12:27:26,並び始め
51,2022/7/12 12:30:00,注文開始
51,2022/7/12 12:30:01,決済
51,2022/7/12 12:30:31,注文完了
51,2022/7/12 12:41:39,商品受取
52,2022/7/12 12:27:26,並び始め
52,2022/7/12 12:30:48,注文開始
52,2022/7/12 12:30:49,決済
52,2022/7/12 12:31:22,注文完了
52,2022/7/12 12:41:47,商品受取
53,2022/7/12 12:28:30,並び始め
53,2022/7/12 12:31:20,注文開始
53,2022/7/12 12:31:21,決済
53,2022/7/12 12:31:29,注文完了
53,2022/7/12 12:42:15,商品受取
54,2022/7/12 12:28:34,並び始め
54,2022/7/12 12:31:31,注文開始
54,2022/7/12 12:31:35,決済
54,2022/7/12 12:31:55,注文完了
